,Age,Profession,Marrital Status,Education,No of Dependents,Personal loan,House Loan,Wife Working,Salary,Wife Salary,Total Salary,Make,Price
34,42,Salaried,Married,Graduate,4,Yes,Yes,No,2100000,0,2100000,Ciaz,1100000
35,42,Salaried,Married,Post Graduate,3,No,No,Yes,2400000,1300000,3700000,SUV,1600000
36,29,Business,Married,Post Graduate,0,No,No,Yes,900000,700000,1600000,City,1200000
37,30,Salaried,Married,Post Graduate,0,No,No,Yes,1300000,800000,2100000,Creata,1500000
38,30,Business,Single,Post Graduate,0,No,No,No,1400000,0,1400000,SUV,1600000
39,31,Salaried,Married,Graduate,0,No,No,Yes,1400000,800000,2200000,Ciaz,1100000
40,31,Business,Married,Post Graduate,3,Yes,Yes,Yes,1100000,600000,1700000,i20,800000
41,32,Business,Married,Post Graduate,0,No,No,No,1400000,0,1400000,Ciaz,1100000
42,32,Salaried,Married,Graduate,0,No,No,Yes,1600000,800000,2400000,SUV,1600000
43,34,Salaried,Married,Post Graduate,3,No,No,Yes,1400000,900000,2300000,Duster,1300000
44,34,Salaried,Married,Post Graduate,2,Yes,Yes,No,1600000,0,1600000,i20,800000
45,34,Salaried,Married,Graduate,3,No,Yes,Yes,2200000,1400000,3600000,Creata,1500000
46,36,Business,Married,Graduate,4,No,No,No,200000,0,200000,Ciaz,1100000
47,36,Business,Married,Graduate,2,No,Yes,Yes,1500000,1100000,2600000,Duster,1300000
48,36,Salaried,Married,Post Graduate,2,No,Yes,Yes,1100000,500000,1600000,i20,800000
49,36,Salaried,Married,Graduate,3,Yes,No,Yes,2200000,900000,3100000,Creata,1500000
50,49,Business,Married,Post Graduate,4,No,No,No,2000000,0,2000000,Duster,1300000
51,49,Salaried,Married,Post Graduate,3,No,No,Yes,2500000,1800000,4300000,SUV,1600000
52,44,Salaried,Married,Post Graduate,4,No,No,No,2700000,0,2700000,SUV,1600000
53,44,Business,Married,Post Graduate,3,No,No,Yes,2000000,1800000,3800000,Creata,1500000
54,41,Salaried,Married,Graduate,2,No,No,Yes,2900000,1800000,4700000,Luxuray,3000000
55,41,Salaried,Married,Post Graduate,3,Yes,Yes,No,3100000,0,3100000,Creata,1500000
56,41,Salaried,Married,Graduate,3,No,No,No,2600000,0,2600000,Ciaz,1100000
57,27,Salaried,Single,Post Graduate,0,No,No,No,1100000,0,1100000,Baleno,700000
58,27,Business,Single,Graduate,0,No,No,No,1200000,0,1200000,Ciaz,1100000
59,28,Salaried,Single,Graduate,0,Yes,No,No,900000,0,900000,Baleno,700000
60,28,Salaried,Single,Post Graduate,0,No,No,No,1400000,0,1400000,City,1200000
61,30,Salaried,Single,Post Graduate,0,No,No,No,1500000,0,1500000,Creata,1500000
62,31,Business,Single,Graduate,0,No,No,No,2000000,0,2000000,SUV,1500000
63,31,Salaried,Married,Post Graduate,3,Yes,Yes,No,1800000,0,1800000,Baleno,700000
64,31,Salaried,Married,Graduate,2,No,Yes,Yes,1400000,700000,2100000,Ciaz,1100000
65,39,Business,Married,Post Graduate,3,No,No,No,1600000,0,1600000,Baleno,700000
66,39,Business,Married,Graduate,2,Yes,Yes,Yes,2200000,1400000,3600000,Creata,1500000
67,39,Salaried,Married,Post Graduate,2,No,No,No,1900000,0,1900000,City,1200000
68,39,Salaried,Married,Post Graduate,2,Yes,Yes,Yes,2700000,1300000,4000000,Creata,1500000
69,37,Business,Married,Graduate,3,No,No,No,1700000,0,1700000,Verna,1200000
70,37,Business,Married,Post Graduate,2,No,No,Yes,1400000,1300000,2700000,Duster,1500000
71,37,Salaried,Married,Post Graduate,2,No,Yes,Yes,1900000,1300000,3200000,SUV,1600000
72,37,Salaried,Married,Graduate,2,No,No,No,1300000,0,1300000,Baleno,700000
73,35,Salaried,Married,Post Graduate,0,No,No,Yes,1400000,1100000,2500000,SUV,1600000
74,36,Business,Married,Graduate,0,No,No,Yes,1300000,700000,2000000,City,1200000
75,36,Salaried,Married,Post Graduate,2,No,No,Yes,2300000,1300000,3600000,Creata,1500000
76,36,Business,Married,Post Graduate,2,Yes,Yes,No,1900000,0,1900000,i20,800000
77,36,Business,Married,Graduate,3,No,Yes,Yes,1800000,1100000,2900000,SUV,1600000
78,44,Salaried,Married,Post Graduate,3,No,No,No,3100000,0,3100000,Creata,1500000
79,45,Salaried,Married,Post Graduate,2,No,Yes,Yes,2700000,1800000,4500000,SUV,1600000
80,46,Salaried,Married,Graduate,3,Yes,Yes,No,2100000,0,2100000,Baleno,800000
81,44,Business,Married,Graduate,2,No,No,Yes,3100000,2100000,5200000,SUV,1600000
82,43,Salaried,Married,Post Graduate,3,Yes,Yes,No,2400000,0,2400000,Ciaz,1100000
83,42,Salaried,Married,Post Graduate,2,No,Yes,No,2900000,0,2900000,Duster,1300000
84,42,Salaried,Married,Graduate,3,Yes,Yes,No,2700000,0,2700000,i20,800000
85,42,Business,Married,Post Graduate,3,Yes,Yes,No,1800000,0,1800000,Baleno,700000
86,29,Business,Single,Graduate,0,Yes,No,No,1100000,0,1100000,Baleno,700000
87,33,Salaried,Married,Post Graduate,2,No,No,Yes,1400000,800000,2200000,City,1200000
88,34,Salaried,Married,Graduate,2,No,Yes,Yes,2700000,1400000,4100000,Creata,1500000
89,34,Business,Married,Post Graduate,3,Yes,Yes,No,1900000,0,1900000,Baleno,700000
90,35,Salaried,Married,Graduate,2,No,No,No,1400000,0,1400000,i20,800000
91,36,Salaried,Married,Post Graduate,3,Yes,Yes,Yes,3100000,1800000,4900000,SUV,1600000
92,37,Salaried,Married,Graduate,2,No,Yes,No,2800000,0,2800000,City,1200000
93,27,Salaried,Single,Post Graduate,0,No,No,No,900000,0,900000,Baleno,700000
94,27,Business,Single,Graduate,0,No,No,No,2400000,0,2400000,SUV,1600000
95,50,Salaried,Married,Post Graduate,3,No,No,Yes,3800000,1300000,5100000,SUV,1600000
96,51,Business,Married,Graduate,2,Yes,Yes,No,2200000,0,2200000,Ciaz,1100000
97,51,Salaried,Married,Post Graduate,2,No,No,Yes,2700000,1300000,4000000,Creata,1500000
98,51,Salaried,Married,Post Graduate,2,Yes,Yes,No,2200000,0,2200000,Ciaz,1100000
